input_text	target_text
Murió el 7 de noviembre de 1980, en Ciudad Juárez, México, después de someterse a una cirugía para extirpar varios tumores	Murió el 7 de noviembre de 1980, en Ciudad Juárez, México, después de someterse a una cirugía para extirpar varios tumores
McQueen fue titulado póstumamente en 2013, cuando su camioneta Chevy de 1952 -el último vehículo que condujo- estaba programada para ser subastada.	McQueen fue titulado póstumamente en 2013, cuando su camioneta Chevy de 1952 -el último vehículo que condujo- estaba programada para ser subastada.
Hola! Hoy voy a hablar sobre actriz favorito	¡Hola! Hoy voy a hablar sobre mi actriz favorita
Su nombre es Emma Watson	Su nombre es Emma Watson
Ella es un actriz famoso en Harry Potter serie y muchos otros películas	Ella es una actriz famosa en la serie de Harry Potter y muchas otras películas
Ella es también un modelo	Ella es también un modelo
También ella es muy politico	También a ella le gusta la política
Ella sirve para las Naciones Unidas como el 'UN Women Goodwill Ambassador.' A solo 24 años de edad, ella graduado de Universidad marrón y trabajar duro para potenciar las niñas	Ella sirve en las Naciones Unidas como la 'UN Women Goodwill Ambassador.' A solo 24 años de edad, ella se graduó de la Universidad Brown y trabajó duro para potenciar a las niñas
Emma Watson nació el 15 de abril de 1990, en París, Francia, pero creció en Inglaterra	Emma Watson nació el 15 de abril de 1990, en París, Francia, pero creció en Inglaterra
Naturalmente, su cabello es rubio	Naturalmente, su cabello es rubio
Cuando ella era una niña, ella era una bailarina y jugó al hockey sobre hierba	Cuando ella era niña, ella era una bailarina y jugó al hockey sobre hierba
Ella tiene un hermano y cinco hermanastros	Ella tiene un hermano y cinco hermanastros
Sus padres son abogados	Sus padres son abogados
Estudió cantar, actuar y bailar, y actuó en las obras escolares cuando era joven	Estudió el cantar, actuar y bailar, y actuó en las obras escolares cuando era joven
Emma Watson es muy bonita, trabajadora, y tipo	Emma Watson es muy bonita y trabajadora
Ella es un instructor de yoga certificado	Ella es una instructora de yoga certificada
Le encanta leer para divertirse	Le encanta leer para divertirse
Sus colores favoritos son el blanco y la crema	Sus colores favoritos son el blanco y la crema
Su bebida favorita es ginebra y tónico	Su bebida favorita es ginebra y tónico
Ella tiene dos gatos llamados Bubbles y Domino	Ella tiene dos gatos llamados Bubbles y Domino
Ella tiene una obsesión con pan tostado y ama la sopa de tomate	Ella tiene una obsesión con pan tostado y ama la sopa de tomate
Emma dice que no es buena cocinera	Emma dice que no es buena cocinera
Ella conduce un coche de Toyota Prius	Ella conduce un coche de Toyota Prius
También le encanta escuchar música	También le encanta escuchar música
Sus artistas favoritos son Alanis Morissette ('Ironic'), Regina Spektor, Joni Mitchell's « Blue » album, Damien Rice, David Gray, James Blunt, Rihanna	Sus artistas favoritos son Alanis Morissette ('Ironic'), Regina Spektor, Joni Mitchell's « Blue » álbum, Damien Rice, David Gray, James Blunt, Rihanna
Su autor favorito es Carlos Ruiz Zafon y le encantaba 'La sombra del viento.” Me gusta ella porque ella es muy trabajadora y inspiradora	Su autor favorito es Carlos Ruiz Zafon y le encantaba 'La sombra del viento.” Ella me gusta porque ella es muy trabajadora e inspiradora
Quiero conocerla un día!	¡Quiero conocerla un día!
Mi persona famosa favorita es Oprah Winfrey	Mi persona famosa favorita es Oprah Winfrey
Oprah es un actor, entrevistador y productor	Oprah es actriz, entrevistadora y productora
Oprah tiene pelo negro y tiene gafas	Oprah tiene pelo negro y tiene gafas
Ella es baja y tiene pelo rizado	Ella es baja y tiene pelo rizado
Oprah es simpática y inteligente	Oprah es simpática e inteligente
Ella tiene sesenta y tres años	Ella tiene sesenta y tres años
Ella es de Mississippi	Ella es de Mississippi
Oprah tiene muchas programas de televisión	Oprah tiene muchos programas de televisión
Su primer programa de televisión fue el 'Oprah Winfrey Show'	Su primer programa de televisión fue el 'Oprah Winfrey Show'
Oprah fue un entrevistador para la programa	Oprah fue una entrevistadora para el programa
El 'Oprah Winfrey Show' fue muy popular durante muchos años	El 'Oprah Winfrey Show' fue muy popular durante muchos años
Su programa fue era sobre las noticas y las historias de gentes	Su programa se trató de las noticas y las historias de las gentes
También, Oprah es un actor para muchas películas	También, Oprah es actriz en muchas películas
Ella fue en 'The Color Purple' y 'The Butler' y 'Selma'	Ella salió en 'The Color Purple' y 'The Butler' y 'Selma'
Ella ha estado en treinta y seis las películas y programas de televisión	Ella ha estado en treinta y seis películas y programas de televisión
También Oprah escribió los libros y las revistas	También Oprah escribió unos libros y unas revistas
Oprah Winfrey tiene muchas casas	Oprah Winfrey tiene muchas casas
Su casa favorita es en Montesita, California	Su casa favorita está en Montesita, California
La casa es muy grande con seis cuartos y catorce cuartos	La casa es muy grande con catorce cuartos
También la casa tiene diez las chimeneas y un grande la cocina y dos cines	También la casa tiene diez chimeneas y una cocina grande y dos cines
El jardín tiene el lago, una piscina y un pisa	El jardín tiene un lago y una piscina
Su casa es muy bonito y popular	Su casa es muy bonita y popular
Oprah Winfrey compró una escuela en África	Oprah Winfrey compró una escuela en África
El escuela es para las chicas	La escuela es para las chicas
Ellas aprenden a escribir y leer	Ellas aprenden a escribir y leer
También ellas aprenden tocar instrumentos musicales	También ellas aprenden a tocar instrumentos musicales
Las estudiantes son inteligentes	Las estudiantes son inteligentes
La escuela tiene cuartos de computadoras, los laboratorios, la biblioteca, el cine y una salón de belleza	La escuela tiene cuartos de computadoras, laboratorios, una biblioteca, un cine y un salón de belleza
La escuela tiene cuatrocientos estudiantes	La escuela tiene cuatrocientos estudiantes
Oprah Winfrey es rica	Oprah Winfrey es rica
Ella tiene mucho dinero	Ella tiene mucho dinero
Oprah es una trabajadora	Oprah es trabajadora
Su las películas y las programas de televisión son popular.	Sus películas y programas de televisión son populares.
He admirado muchas personas en mi vida, pero alguien a quien siempre he admirado es Tony Gwynn	He admirado a muchas personas en mi vida, pero alguien a quien siempre he admirado es Tony Gwynn
Nació el 6 de mayo de 1960 en Los Ángeles	Nació el 6 de mayo de 1960 en Los Ángeles
En Highschool, él jugó dos deportes	En la secundaria, él jugó dos deportes
Tony era muy bueno en el baloncesto y el béisbol	Tony era muy bueno en el baloncesto y el béisbol
Pero el baloncesto era su mejor	Pero el baloncesto era su mejor deporte
Recibió muchas ofertas universitarias para jugar pero ninguna oferta de béisbol	Recibió muchas ofertas universitarias para jugar pero no recibió ninguna oferta de béisbol
Tony fue a San Diego State y jugó béisbol y baloncesto	Tony fue a San Diego State y jugó béisbol y baloncesto
Hizo muchos récords en el baloncesto y fue un jugador de béisbol 'All American' dos veces	Hizo muchos récords en el baloncesto y fue un jugador de béisbol 'All American' dos veces
Los Padres eligieron a Tony en la primera ronda y ahora era un jugador profesional de béisbol	Los Padres eligieron a Tony en la primera ronda y ya se convirtió en un jugador profesional de béisbol
Tony comenzó en las ligas menores por algunos años	Tony comenzó en las ligas menores por algunos años
Tony comenzó su primera temporada en 1984	Tony comenzó su primera temporada en 1984
Trajo a los padres a su primer título NL	Trajo a los Padres a su primer título NL
Él bateó 0.351, 71 RBIs, y 33 bases robadas	Él bateó 0.351, 71 RBIs, con 33 bases robadas
La gente llamaba a Tony Sr	La gente llamaba a Tony Sr
Padre porque era el mejor jugador que el equipo había tenido	Padre porque era el mejor jugador que el equipo había tenido
Tony era un jugador muy bueno, pero también era una persona muy buena	Tony era un jugador muy bueno, pero también era una persona muy buena
Después de su carrera, entrenó para SDSU	Después de su carrera, entrenó para SDSU
Él trajo el equipo a muchos campeonatos	Él trajo el equipo a muchos campeonatos
Por desgracia, tuvo que dejar de jugar y entrenar porque tuvo cáncer	Por desgracia, tuvo que dejar de jugar y entrenar porque tuvo cáncer
Tony pasado el 16 de junio 2014	Tony se murió el 16 de junio 2014
Tenía cincuenta y cuatro años	Tenía cincuenta y cuatro años
Tony tenía un gran impacto en la comunidad de San Diego	Tony tenía un gran impacto en la comunidad de San Diego
Utilizó su dinero para mejorar la vida de muchas personas	Utilizó su dinero para mejorar la vida de muchas personas
Con su fundación, dio dinero y recursos a niños que no tenían mucho dinero	Con su fundación, dio dinero y recursos a niños que no tenían mucho dinero
Tony dio dinero para ayudar a proporcionar educación a los niños	Tony dio dinero para ayudar a proporcionar educación a los niños
Este hombre es importante para mí porque San Diego es mi casa y él ayudó a hacerlo mejor	Este hombre es importante para mí porque San Diego es mi casa y él ayudó a hacerlo mejor
Este hombre es importante para mí porque San Diego es mi hogar y él ayudó a hacerlo mejor.	Este hombre es importante para mí porque San Diego es mi hogar y él ayudó a hacerlo mejor.
Un famoso persona es Brad Pitt	Una persona famosa es Brad Pitt
Brad Pitt tiene mujer Angelina Jolie	Brad Pitt tiene mujer, quien es Angelina Jolie
El hombre es muy famoso actor	El hombre es un actor muy famoso
Angelina Jolie es muy famoso actriz	Angelina Jolie es una actriz muy famosa
Angelina y Brad estan actores	Angelina y Brad son actores
Mi abuela ella gusta Brad Pitt y Angelina Jolie	A mi abuela le gustan Brad Pitt y Angelina Jolie
Ella reloj ellos peliculas pero no mucho ella gusta Angelina Jolie	Ella ve sus películas pero a ella no le gusta Angelina Jolie tanto
Mi no me gusta Brad Pitt y Angelina Jolie porque yo no reloj ellos peliculas	A mí no me gustan Brad Pitt y Angelina Jolie porque yo no veo sus películas
Brad Pitt el pelo negro y Angelina Jolie tienes pelo morena	Brad Pitt tiene el pelo negro y Angelina Jolie es morena
Ella es mucho bonita porque ella tienes grande labios y ojos y pomulos	Ella es muy bonita porque ella tiene los labios, ojos, y pómulos grandes
No lo se mucho acerca de Bradd Pitt pero el es hermoso y delgado	No sé mucho acerca de Brad Pitt pero él es hermoso y delgado
Ellos estan delgado y alto	Ellos son delgados y altos
Ellos estan rico, ellos tienen mucho dinero y costoso ropa porque ellos actores de peliculas y television	Ellos son ricos, ellos tienen mucho dinero y ropa cara porque ellos son actores de películas y televisión
Mi ver ellos en de revista y periodico	Yo los veo en revistas y periódicos
El periodista escribir de Angelina y Brad matrimonio y nino	El periodista escribe del matrimonio de Angelina y Brad y su niño
Creo ellos tienen uno nina pero no lo se cuantos ninos	Creo que ellos tienen una niña pero no sé cuántos niños
Creo ellos acerca de tienen catorce y cuatro anos	Creo que ellos tienen acerca de catorce y cuatro años
Mi abuela es tienes mas anos pero abuela ella gustan Angelina Jolie y Bradd Pitt	Mi abuela es mayor pero a ella le gustan Angelina Jolie y Brad Pitt
Yo tengo veintiuno anos pero creo ellos no mucho mas tienen anos	Yo tengo veintiún años pero creo que ellos son mucho mayores que yo
Ellos parecer joven pero yo soy joven ademas pequena	Ellos parecen jóvenes pero yo soy joven y pequeña
Creo Angelina Jolie y Brad Pitt nina es joven y pequena	Creo que la niña de Angelina Jolie y Brad Pitt es joven y pequeña
El nina es linda y estas contenta de una revista foto	La niña es linda y está contenta en una foto de una revista
Tal vez ella lo hara tambien ser una actriz	Tal vez ella también será actriz
Angelina Jolie y Brad Pitt son admirable pero yo no quiero ser una actriz	Angelina Jolie y Brad Pitt son admirables pero yo no quiero ser actriz
Ademas, yo no mucho me gusta Angelina Jolie y Brad Pitt, pero mi abuela mucho estas gusta Angelina Jolie y Brad Pitt.	Además, a mí no me gustan Angelina Jolie y Brad Pitt, pero a mi abuela le gustan mucho Angelina Jolie y Brad Pitt.
La persona famosa hablar es Clayton Kershaw	La persona famosa de la que quiero hablar es Clayton Kershaw
Él es un atleta profesional y él es un lanzador de los Dodgers de Los Angeles	Él es un atleta profesional y él es un lanzador de los Dodgers de Los Angeles
Él tiene 29 años y nació el 19 de marzo de 1988	Él tiene 29 años y nació el 19 de marzo de 1988
Es de Dallas Texas pero ha vivido en los Ángeles desde hace 9 años	Es de Dallas, Texas pero ha vivido en los Ángeles desde hace 9 años
Kershaw es muy alto, tiene el pelo rubio y es mano izquierda	Kershaw es muy alto, tiene el pelo rubio y es zurdo
La razón por la que lo eligió es porque soy del sur de California y que han crecido viendo los dodgers jugar al béisbol	La razón por la que lo elegí es porque soy del sur de California y que he crecido viendo a los dodgers jugar al béisbol
Yo también cuadros béisbol toda mi vida y fue un lanzador, por lo que me gustaba verlo especialmente	Yo también he jugado béisbol toda mi vida y fui un lanzador, por lo que me gustaba verlo especialmente
Es uno de los mejores lanzadores en el béisbol por lo que esperamos a verlo una vez por semana	Es uno de los mejores lanzadores en el béisbol por lo que esperamos verlo una vez por semana
A veces en los fines de semana me sale a amigos juntos y van a ver los juegos en el centro del restaurante..	A veces en los fines de semana me sale a amigos juntos y van a ver los juegos en el centro del restaurante..
Kershaw doler la espalda por lo que tuvo a rehabilitación durante la temporada baja	Kershaw se lastimó la espalda por lo que tuvo rehabilitación durante la temporada baja
Tenía que asegurarse de que intentar mantener sano su brazo mientras él no podía usar su espalda	Tenía que tratar de intentar mantener sano su brazo mientras él no podía usar su espalda
Es mejor ahora y nuevamente en el campo y espera permanecer todo el año	Está mejor ahora y nuevamente en el campo y espera permanecer todo el año
El sábado que me puse a ver Kershaw echada y él lo hizo muy bien	El sábado me puse a ver a Kershaw lanzar y él lo hizo muy bien
Kershaw tiene una hermosa esposa llamada a Ellen y una nuevo bebé niña linda llamado Cali	Kershaw tiene una hermosa esposa llamada Ellen y una nueva bebé, una niña linda llamada Cali
La niña solo tiene 2 años pero ella ya está haciendo grande! Nombre de padres de Kershaw es Christopher y su madre es Marianne	La niña solo tiene 2 años pero ¡ella ya se está haciendo grande! El nombre del padre de Kershaw es Christopher y su madre es Marianne
La familia vive en Dallas Texas cuando Kershaw es de jugar	La familia vive en Dallas, Texas cuando Kershaw está jugando
Aunque él está muy ocupado y tiene 162 juegos al año	Aunque él está muy ocupado y tiene 162 partidos al año
Esto viene que más de la mitad del año pasado a forma de inicio.	Esto es más que la mitad del año.
El nombre es Barack Obama	Su nombre es Barack Obama
Obama tiene cincuenta y cinco anos	Obama tiene cincuenta y cinco años
Su cumpleanos es cuatro de agosto de 1961	Su cumpleaños es el cuatro de agosto de 1961
Su vive en america	Vive en América
Obama es politico	Obama es político
Barack tiene dos padres	Barack tiene dos padres
Su padres se llaman Ann y Barack Obama Sr	Sus padres se llaman Ann y Barack Obama Sr
Barack tiene una esposa	Barack tiene una esposa
Esposa de Barack Obama se llama Michelle Obama	La esposa de Barack Obama se llama Michelle Obama
Michelle tiene cincuenta y tres anos	Michelle tiene cincuenta y tres años
Michelle es abogada	Michelle es abogada
Barack Obama ama su esposa	Barack Obama ama a su esposa
Barack y Michelle son padres	Barack y Michelle son padres
Ellos tienen dos hijas	Ellos tienen dos hijas
Sus hijas se llaman Malia Ann y Natasha	Sus hijas se llaman Malia Ann y Natasha
Malia Ann tiene dieciocho anos	Malia Ann tiene dieciocho años
Natasha tiene quince anos	Natasha tiene quince años
Malia Ann y Natasha son estudiantes	Malia Ann y Natasha son estudiantes
Barack Obama ama su hijas	Barack Obama ama a sus hijas
Barack tiene el pelo gris y los ojos cafe	Barack tiene el pelo gris y los ojos de color café
Nacionalidad de Barack Obama y su familia son estadounidense	La nacionalidad de Barack Obama y su familia es estadounidense
Barack Obama es inteligente, delgado, idealista, original, responsable, paciente, trabajador, interesante, elegante, importante, optimista, fascinate, popular, creativo, honesto, activo, alto, generoso, serio, ambicioso, moderno, simpatico y atletico	Barack Obama es inteligente, delgado, idealista, original, responsable, paciente, trabajador, interesante, elegante, importante, optimista, fascinante, popular, creativo, honesto, activo, alto, generoso, serio, ambicioso, moderno, simpático y atlético
Barack tiene tres casa	Barack tiene tres casas
Su casas es mucho grandes	Sus casas son muy grandes
Barack Obama le gusta hacer ejercicio	A Barack Obama le gusta hacer ejercicio
Barack le gustan los perros	A Barack le gustan los perros
Barack Obama tiene dos perros	Barack Obama tiene dos perros
Su perros se llaman Bo y Sunny	Sus perros se llaman Bo y Sunny
Bo es hombre, aunque Sunny es mujer	Bo es macho, aunque Sunny es hembra
Barack Obama tiene mucho amigos	Barack Obama tiene muchos amigos
Su amigo se llama Joe Biden	Su amigo se llama Joe Biden
Joe tiene setenta y cuarto anos	Joe tiene setenta y cuarto años
Joe es politico	Joe es político
Barack le gusta caminar con Joe	A Barack le gusta caminar con Joe
Barack Obama le gusta Cuba	A Barack Obama le gusta Cuba
A el le gusta escuchar musica y cantar	A él le gusta escuchar música y cantar
Barack Obama no le gusta Donald Trump	A Barack Obama no le gusta Donald Trump
Obama no le gustan Republicans	A Obama no le gustan los republicanos
Barack Obama habla ingles	Barack Obama habla inglés
A el se gustan conversar	A él le gusta conversar
A el se gusta leer libros.	Á el le gusta leer libros.
Mi experiencia en Malibú Este verano yo fui a celebrar el cumpleaños de mi mejor amiga *FIRST_NAME* en Malibú, California	Mi experiencia en Malibú: Este verano yo fui a celebrar el cumpleaños de mi mejor amiga *FIRST_NAME* en Malibú, California
Fuimos a un restaurante que se llamaba Nobu	Fuimos a un restaurante que se llamaba Nobu
Cuando nos tratamos de estacionar, solo había estacionamiento de valet	Cuando tratamos de estacionar, solo había estacionamiento de valet
Yo nunca había tenido una experiencia así	Yo nunca había tenido una experiencia así
Nos bajamos del carro y nos empezamos a tomar fotos en el letrero del restaurante	Nos bajamos del carro y nos empezamos a tomar fotos enfrente del letrero del restaurante
Nobu estaba en la orilla del mar	Nobu estaba en la orilla del mar
Cuando nos llamaron para ir a nuestra mesa, yo abrí la puerta para Adam Sandlers y él salió	Cuando nos llamaron para ir a nuestra mesa, yo abrí la puerta y vi a Adam Sandler salir
Adam Sandlers me agradeció	Adam Sandler me agradeció
No se sentía real	No parecía real
Mi corazón latió rápido y mis cachetes se pusieron rojos	Mi corazón latía rápido y mis cachetes se pusieron rojos
“¿De verdad será él?” yo me pregunté	“¿De verdad será él?” yo me pregunté
Les dije a mis amigas y aunque tratamos de ser sutiles, yo creo que era obvio que estábamos impresionadas por su presencia	Les dije a mis amigas y aunque tratamos de ser sutiles, yo creo que era obvio que estábamos impresionadas por su presencia
La comida que servían eran mariscos	La comida que servían era mariscos
Las luces eran oscuras y el ambiente era lujoso	Las luces eran oscuras y el ambiente era lujoso
Después de unos 40 minutos sentados en nuestra mesa, vi a Lea Michelle, la actriz principal de Glee	Después de unos 40 minutos sentados en nuestra mesa, vi a Lea Michelle, la actriz principal de Glee
Lea tenía un vestido blanco y camino con gracia hacia la barra	Lea tenía un vestido blanco y caminaba con gracia hacia la barra
Me pregunté “¿Cómo yo no había oído de este restaurante?” Me sentía privilegiada de ser una de las invitadas	Me pregunté “¿Cómo es que no había oído de este restaurante?” Me sentía privilegiada de ser una de las invitadas
De repente, cuando llegó el sushi a la mesa y estiré mi brazo para tomar un pedazo, cuando subí la cabeza vi a Ringo Starr (el señor que tocaba la batería para los Beatles)	De repente, cuando llegó el sushi a la mesa y estiré mi brazo para tomar un pedazo, subí la cabeza y vi a Ringo Starr (el señor que tocaba la batería para los Beatles)
Él se estaba yendo	Él se estaba yendo
Se sentía como un sueño	Era como un sueño
¿Ringo? Traté de disimular	¿Ringo? Traté de disimular
Donde sea que volteaba había gente famosa	Donde sea que volteaba había gente famosa
Este viaje fue una experiencia espontánea que me dio mucha felicidad	Este viaje fue una experiencia espontánea que me dio mucha felicidad
No pude tener conversaciones con ningunos de los artistas famosos, pero pude cenar en el mismo lugar que ellos y eso me dio suficiente placer	No pude tener conversaciones con ninguno de los artistas famosos, pero pude cenar en el mismo lugar que ellos y eso me dio suficiente placer
